timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1696433517075,72,HTTP Request,200,OK,Thread Group 1-19,text,true,,11697,143,35,35,https://frontend-lacrei-pessoa-usuaria.vercel.app/,72,0,0
1696433517073,81,HTTP Request,200,OK,Thread Group 1-15,text,true,,11697,143,35,35,https://frontend-lacrei-pessoa-usuaria.vercel.app/,80,0,0
1696433516880,275,HTTP Request,200,OK,Thread Group 1-25,text,true,,11697,143,34,34,https://frontend-lacrei-pessoa-usuaria.vercel.app/,274,0,1
1696433516848,307,HTTP Request,200,OK,Thread Group 1-22,text,true,,11697,143,34,34,https://frontend-lacrei-pessoa-usuaria.vercel.app/,307,0,0
1696433516869,287,HTTP Request,200,OK,Thread Group 1-24,text,true,,11697,143,34,34,https://frontend-lacrei-pessoa-usuaria.vercel.app/,287,0,1
1696433517074,83,HTTP Request,200,OK,Thread Group 1-18,text,true,,11697,143,34,34,https://frontend-lacrei-pessoa-usuaria.vercel.app/,83,0,0
1696433516898,263,HTTP Request,200,OK,Thread Group 1-27,text,true,,11697,143,34,34,https://frontend-lacrei-pessoa-usuaria.vercel.app/,263,0,0
1696433517074,87,HTTP Request,200,OK,Thread Group 1-20,text,true,,11697,143,34,34,https://frontend-lacrei-pessoa-usuaria.vercel.app/,87,0,0
1696433517145,72,HTTP Request,200,OK,Thread Group 1-21,text,true,,11673,143,38,38,https://frontend-lacrei-pessoa-usuaria.vercel.app/,71,0,0
1696433516948,269,HTTP Request,200,OK,Thread Group 1-32,text,true,,11697,143,37,37,https://frontend-lacrei-pessoa-usuaria.vercel.app/,269,0,1
1696433517146,75,HTTP Request,200,OK,Thread Group 1-23,text,true,,11697,143,38,38,https://frontend-lacrei-pessoa-usuaria.vercel.app/,74,0,0
1696433517146,84,HTTP Request,200,OK,Thread Group 1-28,text,true,,11697,143,37,37,https://frontend-lacrei-pessoa-usuaria.vercel.app/,77,0,0
1696433516967,264,HTTP Request,200,OK,Thread Group 1-34,text,true,,11697,143,37,37,https://frontend-lacrei-pessoa-usuaria.vercel.app/,263,0,1
1696433517143,89,HTTP Request,200,OK,Thread Group 1-26,text,true,,11697,143,37,37,https://frontend-lacrei-pessoa-usuaria.vercel.app/,88,0,0
1696433517155,79,HTTP Request,200,OK,Thread Group 1-25,text,true,,11697,143,36,36,https://frontend-lacrei-pessoa-usuaria.vercel.app/,79,0,0
1696433516920,315,HTTP Request,200,OK,Thread Group 1-29,text,true,,11697,143,35,35,https://frontend-lacrei-pessoa-usuaria.vercel.app/,314,0,1
1696433517155,81,HTTP Request,200,OK,Thread Group 1-22,text,true,,11697,143,36,36,https://frontend-lacrei-pessoa-usuaria.vercel.app/,80,0,0
1696433517161,75,HTTP Request,200,OK,Thread Group 1-27,text,true,,11697,143,35,35,https://frontend-lacrei-pessoa-usuaria.vercel.app/,75,0,0
1696433516940,297,HTTP Request,200,OK,Thread Group 1-31,text,true,,11697,143,34,34,https://frontend-lacrei-pessoa-usuaria.vercel.app/,296,0,0
1696433517156,81,HTTP Request,200,OK,Thread Group 1-24,text,true,,11697,143,34,34,https://frontend-lacrei-pessoa-usuaria.vercel.app/,81,0,0
1696433516957,281,HTTP Request,200,OK,Thread Group 1-33,text,true,,11697,143,33,33,https://frontend-lacrei-pessoa-usuaria.vercel.app/,281,0,1
1696433517218,62,HTTP Request,200,OK,Thread Group 1-32,text,true,,11697,143,37,37,https://frontend-lacrei-pessoa-usuaria.vercel.app/,62,0,0
1696433517231,72,HTTP Request,200,OK,Thread Group 1-34,text,true,,11697,143,38,38,https://frontend-lacrei-pessoa-usuaria.vercel.app/,68,0,0
1696433517110,194,HTTP Request,200,OK,Thread Group 1-48,text,true,,11697,143,37,37,https://frontend-lacrei-pessoa-usuaria.vercel.app/,193,0,1
1696433516928,379,HTTP Request,200,OK,Thread Group 1-30,text,true,,11697,143,37,37,https://frontend-lacrei-pessoa-usuaria.vercel.app/,379,0,0
1696433517237,74,HTTP Request,200,OK,Thread Group 1-31,text,true,,11697,143,38,38,https://frontend-lacrei-pessoa-usuaria.vercel.app/,74,0,0
1696433517235,77,HTTP Request,200,OK,Thread Group 1-29,text,true,,11697,143,37,37,https://frontend-lacrei-pessoa-usuaria.vercel.app/,76,0,0
1696433517041,271,HTTP Request,200,OK,Thread Group 1-41,text,true,,11697,143,36,36,https://frontend-lacrei-pessoa-usuaria.vercel.app/,271,0,0
1696433517238,90,HTTP Request,200,OK,Thread Group 1-33,text,true,,11697,143,37,37,https://frontend-lacrei-pessoa-usuaria.vercel.app/,89,0,0
1696433517304,81,HTTP Request,200,OK,Thread Group 1-48,text,true,,11697,143,42,42,https://frontend-lacrei-pessoa-usuaria.vercel.app/,73,0,0
1696433517307,85,HTTP Request,200,OK,Thread Group 1-30,text,true,,11697,143,42,42,https://frontend-lacrei-pessoa-usuaria.vercel.app/,85,0,0
1696433517313,95,HTTP Request,200,OK,Thread Group 1-41,text,true,,11697,143,43,43,https://frontend-lacrei-pessoa-usuaria.vercel.app/,94,0,0
1696433517181,228,HTTP Request,200,OK,Thread Group 1-55,text,true,,11697,143,42,42,https://frontend-lacrei-pessoa-usuaria.vercel.app/,228,0,0
1696433517250,224,HTTP Request,200,OK,Thread Group 1-62,text,true,,11697,143,48,48,https://frontend-lacrei-pessoa-usuaria.vercel.app/,223,0,1
1696433517409,75,HTTP Request,200,OK,Thread Group 1-55,text,true,,11697,143,49,49,https://frontend-lacrei-pessoa-usuaria.vercel.app/,74,0,0
1696433517474,61,HTTP Request,200,OK,Thread Group 1-62,text,true,,11697,143,53,53,https://frontend-lacrei-pessoa-usuaria.vercel.app/,60,0,0
1696433517310,228,HTTP Request,200,OK,Thread Group 1-68,text,true,,11697,143,53,53,https://frontend-lacrei-pessoa-usuaria.vercel.app/,227,0,1
1696433517361,236,HTTP Request,200,OK,Thread Group 1-73,text,true,,11697,143,58,58,https://frontend-lacrei-pessoa-usuaria.vercel.app/,232,0,0
1696433517538,106,HTTP Request,200,OK,Thread Group 1-68,text,true,,11697,143,62,62,https://frontend-lacrei-pessoa-usuaria.vercel.app/,102,0,0
1696433517445,200,HTTP Request,200,OK,Thread Group 1-82,text,true,,11697,143,62,62,https://frontend-lacrei-pessoa-usuaria.vercel.app/,200,0,1
1696433517597,88,HTTP Request,200,OK,Thread Group 1-73,text,true,,11697,143,61,61,https://frontend-lacrei-pessoa-usuaria.vercel.app/,88,0,0
1696433517645,63,HTTP Request,200,OK,Thread Group 1-82,text,true,,11697,143,60,60,https://frontend-lacrei-pessoa-usuaria.vercel.app/,62,0,0
1696433517510,250,HTTP Request,200,OK,Thread Group 1-88,text,true,,11697,143,59,59,https://frontend-lacrei-pessoa-usuaria.vercel.app/,249,0,1
1696433517566,246,HTTP Request,200,OK,Thread Group 1-94,text,true,,11697,143,59,59,https://frontend-lacrei-pessoa-usuaria.vercel.app/,245,0,0
1696433517761,74,HTTP Request,200,OK,Thread Group 1-88,text,true,,11697,143,59,59,https://frontend-lacrei-pessoa-usuaria.vercel.app/,73,0,0
1696433517813,81,HTTP Request,200,OK,Thread Group 1-94,text,true,,11697,143,58,58,https://frontend-lacrei-pessoa-usuaria.vercel.app/,80,0,0
1696433516977,1201,HTTP Request,200,OK,Thread Group 1-35,text,true,,11697,143,57,57,https://frontend-lacrei-pessoa-usuaria.vercel.app/,1201,0,1
1696433517000,1189,HTTP Request,200,OK,Thread Group 1-37,text,true,,11697,143,57,57,https://frontend-lacrei-pessoa-usuaria.vercel.app/,1188,0,1
1696433516985,1235,HTTP Request,200,OK,Thread Group 1-36,text,true,,11697,143,57,57,https://frontend-lacrei-pessoa-usuaria.vercel.app/,1235,0,2
1696433517010,1226,HTTP Request,200,OK,Thread Group 1-38,text,true,,11697,143,57,57,https://frontend-lacrei-pessoa-usuaria.vercel.app/,1225,0,1
1696433518178,64,HTTP Request,200,OK,Thread Group 1-35,text,true,,11697,143,57,57,https://frontend-lacrei-pessoa-usuaria.vercel.app/,64,0,0
1696433517031,1213,HTTP Request,200,OK,Thread Group 1-40,text,true,,11697,143,56,56,https://frontend-lacrei-pessoa-usuaria.vercel.app/,1213,0,0
1696433518189,61,HTTP Request,200,OK,Thread Group 1-37,text,true,,11697,143,56,56,https://frontend-lacrei-pessoa-usuaria.vercel.app/,59,0,0
1696433517020,1244,HTTP Request,200,OK,Thread Group 1-39,text,true,,11697,143,55,55,https://frontend-lacrei-pessoa-usuaria.vercel.app/,1243,0,1
1696433518221,71,HTTP Request,200,OK,Thread Group 1-36,text,true,,11697,143,55,55,https://frontend-lacrei-pessoa-usuaria.vercel.app/,71,0,0
1696433517051,1244,HTTP Request,200,OK,Thread Group 1-42,text,true,,11697,143,54,54,https://frontend-lacrei-pessoa-usuaria.vercel.app/,1243,0,0
1696433518244,64,HTTP Request,200,OK,Thread Group 1-40,text,true,,11697,143,54,54,https://frontend-lacrei-pessoa-usuaria.vercel.app/,64,0,0
1696433518236,85,HTTP Request,200,OK,Thread Group 1-38,text,true,,11697,143,53,53,https://frontend-lacrei-pessoa-usuaria.vercel.app/,85,0,0
1696433518264,65,HTTP Request,200,OK,Thread Group 1-39,text,true,,11697,143,52,52,https://frontend-lacrei-pessoa-usuaria.vercel.app/,65,0,0
1696433517120,1215,HTTP Request,200,OK,Thread Group 1-49,text,true,,11697,143,51,51,https://frontend-lacrei-pessoa-usuaria.vercel.app/,1213,0,1
