timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1696433367661,310,HTTP Request,200,OK,Thread Group 1-29,text,true,,15435,151,46,46,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,295,0,0
1696433367888,86,HTTP Request,200,OK,Thread Group 1-21,text,true,,15435,151,47,47,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,83,0,0
1696433367892,85,HTTP Request,200,OK,Thread Group 1-22,text,true,,15435,151,46,46,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,82,0,0
1696433367892,86,HTTP Request,200,OK,Thread Group 1-24,text,true,,15435,151,45,45,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,85,0,0
1696433367679,299,HTTP Request,200,OK,Thread Group 1-31,text,true,,15435,151,45,45,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,298,0,1
1696433367649,329,HTTP Request,200,OK,Thread Group 1-28,text,true,,15435,151,44,44,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,329,0,1
1696433367851,128,HTTP Request,200,OK,Thread Group 1-19,text,true,,15435,151,44,44,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,128,0,0
1696433367888,92,HTTP Request,200,OK,Thread Group 1-26,text,true,,15435,151,43,43,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,91,0,0
1696433367640,340,HTTP Request,200,OK,Thread Group 1-27,text,true,,15435,151,42,42,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,340,0,1
1696433367892,92,HTTP Request,200,OK,Thread Group 1-18,text,true,,15435,151,43,43,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,91,0,0
1696433367893,94,HTTP Request,200,OK,Thread Group 1-16,text,true,,15435,151,42,42,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,91,0,0
1696433367893,95,HTTP Request,200,OK,Thread Group 1-17,text,true,,15435,151,41,41,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,94,0,0
1696433367618,370,HTTP Request,200,OK,Thread Group 1-25,text,true,,15435,151,40,40,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,370,0,1
1696433367894,96,HTTP Request,200,OK,Thread Group 1-11,text,true,,15435,151,40,40,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,95,0,0
1696433367894,96,HTTP Request,200,OK,Thread Group 1-20,text,true,,15435,151,40,40,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,96,0,0
1696433367894,99,HTTP Request,200,OK,Thread Group 1-23,text,true,,15435,151,39,39,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,97,0,0
1696433367690,311,HTTP Request,200,OK,Thread Group 1-32,text,true,,15435,151,39,39,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,308,0,1
1696433367669,341,HTTP Request,200,OK,Thread Group 1-30,text,true,,15435,151,39,39,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,340,0,0
1696433367979,87,HTTP Request,200,OK,Thread Group 1-28,text,true,,15435,151,45,45,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,87,0,0
1696433367978,89,HTTP Request,200,OK,Thread Group 1-31,text,true,,15435,151,45,45,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,88,0,0
1696433367777,296,HTTP Request,200,OK,Thread Group 1-14,text,true,,15435,151,44,44,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,292,0,0
1696433367731,342,HTTP Request,200,OK,Thread Group 1-36,text,true,,15435,151,44,44,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,342,0,0
1696433367989,85,HTTP Request,200,OK,Thread Group 1-25,text,true,,15435,151,43,43,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,85,0,0
1696433367980,95,HTTP Request,200,OK,Thread Group 1-27,text,true,,15435,151,42,42,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,95,0,0
1696433367721,354,HTTP Request,200,OK,Thread Group 1-35,text,true,,15435,151,42,42,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,354,0,1
1696433368012,64,HTTP Request,200,OK,Thread Group 1-30,text,true,,15435,151,41,41,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,64,0,0
1696433367833,243,HTTP Request,200,OK,Thread Group 1-46,text,true,,15435,151,41,41,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,243,0,0
1696433367704,373,HTTP Request,200,OK,Thread Group 1-33,text,true,,15435,151,40,40,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,372,0,1
